date,Close
2021-09-15,9.4
2021-09-16,9.9
2021-09-17,9.55
2021-09-20,9.25
2021-09-21,9.25
2021-09-22,9.2
2021-09-23,9.3
2021-09-24,9.25
2021-09-27,9.25
2021-09-28,9.2
2021-09-29,9.3
2021-09-30,9.35
2021-10-01,9.35
2021-10-04,9.35
2021-10-05,9.4
2021-10-06,9.3
2021-10-07,9.3
2021-10-08,9.55
2021-10-11,9.45
2021-10-12,9.55
2021-10-13,9.55
2021-10-14,9.6
2021-10-18,9.85
2021-10-19,9.75
2021-10-20,9.6
2021-10-21,9.65
2021-10-22,8.8
2021-10-25,8.75
2021-10-26,8.8
2021-10-27,8.8
2021-10-28,8.65
2021-10-29,8.6
2021-11-01,8.7
2021-11-02,8.7
2021-11-03,8.6
2021-11-04,8.75
2021-11-08,8.7
2021-11-09,8.7
2021-11-10,8.65
2021-11-11,8.6
2021-11-12,8.55
2021-11-15,8.45
2021-11-16,8.35
2021-11-17,8.35
2021-11-18,8.25
2021-11-22,8.15
2021-11-23,8.25
2021-11-24,8.35
2021-11-25,8.25
2021-11-26,8.15
2021-11-29,7.85
2021-11-30,8.0
2021-12-01,8.2
2021-12-02,8.2
2021-12-03,8.2
2021-12-06,8.2
2021-12-07,8.35
2021-12-08,8.4
2021-12-09,8.45
2021-12-10,8.75
2021-12-13,8.6
2021-12-14,8.55
2021-12-15,8.5
2021-12-16,8.35
2021-12-17,8.15
2021-12-20,7.95
2021-12-21,8.05
2021-12-22,8.2
2021-12-23,8.05
2021-12-24,8.05
2021-12-27,8.1
2021-12-28,8.15
2021-12-29,8.15
2021-12-30,8.05
2021-12-31,8.15
2022-01-03,8.45
2022-01-04,8.5
2022-01-05,8.4
2022-01-06,8.3
2022-01-07,8.35
2022-01-10,8.45
2022-01-11,8.35
2022-01-12,8.3
2022-01-13,8.35
2022-01-14,8.4
2022-01-17,8.45
2022-01-18,8.35
2022-01-19,8.3
2022-01-20,8.35
2022-01-21,8.15
2022-01-24,8.0
2022-01-25,8.05
2022-01-27,8.2
2022-01-28,8.1
2022-01-31,8.2
2022-02-01,8.15
2022-02-02,8.2
2022-02-03,8.2
2022-02-04,8.15
2022-02-07,8.1
2022-02-08,8.05
2022-02-09,8.05
2022-02-10,8.05
2022-02-11,8.0
2022-02-14,7.75
2022-02-15,7.75
2022-02-16,7.8
2022-02-17,7.9
2022-02-18,7.85
2022-02-21,7.65
2022-02-22,7.55
2022-02-23,7.6
2022-02-24,7.05
2022-02-25,7.4
2022-02-28,7.45
2022-03-02,7.4
2022-03-03,7.4
2022-03-04,7.3
2022-03-07,7.2
2022-03-08,7.25
2022-03-09,7.3
2022-03-10,7.4
2022-03-11,7.35
2022-03-14,7.3
2022-03-15,7.25
2022-03-16,7.3
2022-03-17,7.4
2022-03-21,7.35
2022-03-22,7.3
2022-03-23,7.25
2022-03-24,7.25
2022-03-25,7.25
2022-03-28,7.15
2022-03-29,7.0
2022-03-30,6.95
2022-03-31,6.9
2022-04-01,7.2
2022-04-04,7.4
2022-04-05,7.35
2022-04-06,8.2
2022-04-07,8.0
2022-04-08,7.9
2022-04-11,7.85
2022-04-12,7.75
2022-04-13,7.7
2022-04-18,7.6
2022-04-19,7.5
2022-04-20,7.5
2022-04-21,7.65
2022-04-22,7.6
2022-04-25,7.45
2022-04-26,7.5
2022-04-27,7.4
2022-04-28,7.4
2022-04-29,7.3
2022-05-02,7.25
2022-05-04,7.25
2022-05-05,7.25
2022-05-06,7.15
2022-05-09,7.4
2022-05-10,7.25
2022-05-11,7.1
2022-05-12,7.05
2022-05-13,7.25
2022-05-16,7.35
2022-05-17,7.45
2022-05-18,7.35
2022-05-19,7.2
2022-05-20,7.4
2022-05-23,7.4
2022-05-24,7.35
2022-05-25,7.2
2022-05-26,7.25
2022-05-27,7.3
2022-05-30,7.35
2022-05-31,7.35
2022-06-01,7.3
2022-06-02,7.35
2022-06-03,7.35
2022-06-06,7.3
2022-06-07,7.2
2022-06-08,7.2
2022-06-09,7.2
2022-06-10,7.15
2022-06-13,7.05
2022-06-14,7.05
2022-06-15,7.05
2022-06-16,7.0
2022-06-17,6.95
2022-06-20,6.8
2022-06-21,6.9
2022-06-22,6.8
2022-06-23,6.85
2022-06-24,6.85
2022-06-27,7.0
2022-06-28,7.0
2022-06-29,7.05
2022-06-30,7.0
